#,título,ano,direção,duração,nota_imdb,nota_letterboxd,gêneros,roteiro,elenco_principal,indicacoes,vitorias,venceu_melhor_filme
1,Anora,2024,Sean Baker,2h 19m,7.4,3.8,"Comédia, Drama, Romance",Sean Baker,"Mikey Madison, Mark Eydelshteyn, Yura Borisov, Paul Weissman, Karren Karagulian",6,5,True
2,A Complete Unknown,2024,James Mangold,2h 21m,7.3,3.6,"Biografia, Drama, Musical","James Mangold, Jay Cocks, Elijah Wald","Timothée Chalamet, Edward Norton, Monica Barbaro, Elle Fanning, Joe Tippett",8,0,False
3,Ainda Estou Aqui,2024,Walter Salles,2h 17m,8.2,4.3,"Biografia, Drama, História","Murilo Hauser, Heitor Lorega, Marcelo Rubens Paiva","Fernanda Torres, Fernanda Montenegro, Selton Mello, Valentina Herszage, Marjorie Estiano",3,1,False
4,Conclave,2024,Edward Berger,2h,7.4,3.9,"Drama, Suspense","Peter Straughan, Robert Harrisr","Ralph Fiennes, Stanley Tucci, John Lithgow, Isabella Rossellini, Carlos Diehz",8,1,False
5,Dune: Part Two,2024,Denis Villeneuve,2h 46m,8.5,4.4,"Aventura, Ação, Drama, Ficção científica","Denis Villeneuve, Jon Spaihts, Frank Herbert","Timothée Chalamet, Zendaya, Javier Bardem, Florence Pugh, Austin Butler",5,1,False
6,Emilia Pérez,2024,Jacques Audiard,2h 12m,5.4,2.0,"Drama, Musical, Policial, Suspense","Jacques Audiard, Thomas Bidegain, Léa Mysius","Zoe Saldaña, Karla Sofía Gascón, Selena Gomez, Adriana Paz, Edgar Ramírez",13,2,False
7,Nickel Boys,2024,RaMell Ross,2h 20m,6.9,4.0,Drama,"RaMell Ross, Joslyn Barnes, Colson Whitehead","Ethan Herisse, Brandon Wilson, Aunjanue Ellis-Taylor, Sam Malone, Najah Bradley",2,0,False
8,The Brutalist,2024,Brady Corbet,3h 36m,7.3,3.9,Drama,"Brady Corbet, Mona Fastvold","Adrien Brody, Felicity Jones, Guy Pearce, Joe Alwyn, Raffey Cassidy",10,3,False
9,The Substance,2024,Coralie Fargeat,2h 21m,7.2,3.8,"Drama, Ficção científica, Terror",Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid, Edward Hamilton-Clark, Gore Abrams",5,1,False
10,Wicked: Part I,2024,Jon M. Chu,2h 40m,7.4,3.8,"Fantasia, Musical, Romance","Winnie Holzman, Dana Fox, Gregory Maguire","Cynthia Erivo, Ariana Grande, Jeff Goldblum, Michelle Yeoh, Jonathan Bailey",10,2,False
11,Oppenheimer,2023,Christopher Nolan,3h,8.3,4.2,"Biografia, Drama, História","Christopher Nolan, Kai Bird, Martin Sherwin","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr., Florence Pugh",12,7,True
12,American Fiction,2023,Cord Jefferson,1h 57m,7.5,3.7,"Comédia, Drama","Cord Jefferson, Percival Everett","Jeffrey Wright, Tracee Ellis Ross, Erika Alexander, Issa Rae, Sterling K. Brown",5,1,False
13,Anatomy of a Fall,2023,Justine Triet,2h 31m,7.6,4.1,Drama,"Justine Triet, Arthur Harari","Sandra Hüller, Swann Arlaud, Milo Machado-Graner, Antoine Reinartz, Samuel Theis",5,1,False
14,Barbie,2023,Greta Gerwig,1h 54m,6.8,3.7,"Aventura, Comédia, Fantasia","Greta Gerwig, Noah Baumbach","Margot Robbie, Ryan Gosling, America Ferrera, Will Ferrell, Kate McKinnon",8,1,False
15,Killers of the Flower Moon,2023,Martin Scorsese,3h 26m,7.6,4.0,"Drama, Faroeste, História, Policial","Martin Scorsese, Eric Roth, David Grann","Leonardo DiCaprio, Robert De Niro, Lily Gladstone, Jesse Plemons, Brendan Fraser",10,0,False
16,Maestro,2023,Bradley Cooper,2h 9m,6.5,3.1,"Biografia, Drama, História, Musical, Romance","Bradley Cooper, Josh Singer","Bradley Cooper, Carey Mulligan, Matt Bomer, Vincenzo Amato, Greg Hildreth",7,0,False
17,Past Lives,2023,Celine Song,1h 45m,7.8,4.2,"Drama, Romance",Celine Song,"Greta Lee, Teo Yoo, John Magaro, Moon Seung-ah, Leem Seung-min",2,0,False
18,Poor Things,2023,Yorgos Lanthimos,2h 21m,7.8,4.0,"Comédia, Drama, Ficção científica, Romance","Tony McNamara, Alasdair Gray","Emma Stone, Mark Ruffalo, Willem Dafoe, Margaret Qualley, Ramy Youssef",11,4,False
19,The Holdovers,2023,Alexander Payne,2h 13m,7.9,4.2,"Comédia, Drama",David Hemingson,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa, Carrie Preston, Brady Hepner",5,1,False
20,The Zone of Interest,2023,Jonathan Glazer,1h 45m,7.3,3.9,"Drama, Guerra, História","Jonathan Glazer, Martin Amis","Christian Friedel, Sandra Hüller, Johann Karthaus, Luis Noah Witte, Max Beck",5,2,False
21,Everything Everywhere All at Once,2022,"Daniel Kwan, Daniel Scheinert",2h 19m,7.8,4.3,"Aventura, Ação, Comédia, Drama, Fantasia, Ficção científica","Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan, James Hong",11,7,True
22,All Quiet on the Western Front,2022,Edward Berger,2h 28m,7.8,4.0,"Ação, Drama, Guerra","Edward Berger, Lesley Paterson, Ian Stokell","Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus, Adrian Grünewald",9,4,False
23,Avatar: The Way of Water,2022,James Cameron,3h 12m,7.5,3.6,"Aventura, Ação, Fantasia, Ficção científica","James Cameron, Rick Jaffa, Amanda Silver","Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Kate Winslet",4,1,False
24,Elvis,2022,Baz Luhrmann,2h 39m,7.3,3.4,"Biografia, Drama, Musical","Baz Luhrmann, Sam Bromell, Craig Pearce","Tom Hanks, Austin Butler, Olivia DeJonge, Helen Thomson, Richard Roxburgh",8,0,False
25,The Banshees of Inisherin,2022,Martin McDonagh,1h 54m,7.7,4.1,"Comédia, Drama",Martin McDonagh,"Colin Farrell, Brendan Gleeson, Kerry Condon, Pat Shortt, Gary Lydon",9,0,False
26,The Fabelmans,2022,Steven Spielberg,2h 31m,7.5,4.0,Drama,"Steven Spielberg, Tony Kushner","Michelle Williams, Gabriel LaBelle, Paul Dano, Judd Hirsch, Seth Rogen",7,0,False
27,Top Gun: Maverick,2022,Joseph Kosinski,2h 10m,8.2,4.0,"Ação, Drama","Jim Cash, Jack Epps Jr., Peter Craig","Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer, Bashir Salahuddin",6,1,False
28,Triangle of Sadness,2022,Ruben Östlund,2h 27m,7.2,3.7,"Comédia, Drama",Ruben Östlund,"Thobias Thorwid, Harris Dickinson, Charlbi Dean, Jiannis Moustos, Vicki Berlin",3,0,False
29,Tár,2022,Todd Field,2h 38m,7.4,3.9,"Drama, Musical",Todd Field,"Cate Blanchett, Noémie Merlant, Nina Hoss, Sophie Kauer, Adam Gopnik",6,0,False
30,Women Talking,2022,Sarah Polley,1h 44m,6.9,3.8,Drama,"Sarah Polley, Miriam Toews","Rooney Mara, Claire Foy, Jessie Buckley, Frances McDormand, Judith Ivey",2,1,False
31,CODA,2021,Sian Heder,1h 51m,8.0,3.9,"Comédia, Drama, Musical","Sian Heder, Victoria Bedos, Stanislas Carré de Malberg","Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant, John Fiore",3,3,True
32,Belfast,2021,Kenneth Branagh,1h 38m,7.2,3.5,"Biografia, Drama",Kenneth Branagh,"Jude Hill, Lewis McAskie, Caitríona Balfe, Jamie Dornan, Judi Dench",7,1,False
33,Don't Look Up,2021,Adam McKay,2h 18m,7.2,3.0,"Comédia, Drama, Ficção científica","Adam McKay, David Sirota","Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett, Rob Morgan",4,0,False
34,Drive My Car,2021,Ryûsuke Hamaguchi,2h 59m,7.5,4.2,Drama,"Haruki Murakami, Ryûsuke Hamaguchi, Takamasa Ôe","Hidetoshi Nishijima, Tôko Miura, Reika Kirishima, Masaki Okada, Park Yu-rim",4,1,False
35,Dune: Part One,2021,Denis Villeneuve,2h 35m,8.0,3.9,"Aventura, Ação, Drama, Ficção científica","Denis Villeneuve, Jon Spaihts, Eric Roth, Frank Herbert","Timothée Chalamet, Zendaya, Javier Bardem, Josh Brolin, Rebecca Ferguson",10,6,False
36,King Richard,2021,Reinaldo Marcus Green,2h 24m,7.5,3.7,"Biografia, Drama, Esportes",Zach Baylin,"Will Smith, Aunjanue Ellis-Taylor, Jon Bernthal, Saniyya Sidney, Demi Singleton",6,1,False
37,Licorice Pizza,2021,Paul Thomas Anderson,2h 13m,7.1,3.0,"Comédia, Drama, Romance",Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits, Bradley Cooper",3,0,False
38,Nightmare Alley,2021,Guillermo del Toro,2h 30m,7.0,3.4,"Drama, Policial, Suspense","Guillermo del Toro, Kim Morgan, William Lindsay Gresham","Bradley Cooper, Cate Blanchett, Toni Collette, Willem Dafoe, Rooney Mara",4,0,False
39,The Power of the Dog,2021,Jane Campion,2h 6m,6.8,3.7,"Drama, Faroeste","Jane Campion, Thomas Savage","Benedict Cumberbatch, Kirsten Dunst, Jesse Plemons, Kodi Smit-McPhee, Geneviève Lemon",12,1,False
40,West Side Story,2021,Steven Spielberg,2h 36m,7.2,3.6,"Crime, Drama, Musical","Tony Kushner, Arthur Laurents","Ansel Elgort, Rachel Zegler, Ariana DeBose, David Alvarez, Rita Moreno",7,1,False
